scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,40.0,0.45,1.1,3,5,3,53.9294,0.08889,0.028109,53.874306,53.984494,63.5987,0.192117,0.060753,63.479624,63.717776,0.09017,0.002444,0.000773,0.088655,0.091685,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,40.0,0.45,1.1,3,5,3,72.0065,0.134782,0.042622,71.922962,72.090038,89.9589,0.136116,0.043044,89.874534,90.043266,0.45931,0.003015,0.000954,0.457441,0.461179,0.59452,0.00356,0.001126,0.592313,0.596727,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,40.0,0.45,1.1,3,5,3,53.9209,0.085577,0.027062,53.867859,53.973941,63.5204,0.080559,0.025475,63.470469,63.570331,0.09015,0.002233,0.000706,0.088766,0.091534,0.0,0.0,0.0,0.0,0.0,18.0856
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,40.0,0.55,1.1,3,5,3,51.3076,0.183935,0.058165,51.193596,51.421604,63.3485,0.099857,0.031578,63.286608,63.410392,0.16763,0.004675,0.001478,0.164733,0.170527,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,40.0,0.55,1.1,3,5,3,64.7131,0.212102,0.067073,64.581638,64.844562,88.5284,0.147119,0.046523,88.437215,88.619585,0.66263,0.005325,0.001684,0.65933,0.66593,0.4053,0.006314,0.001997,0.401387,0.409213,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,40.0,0.55,1.1,3,5,3,51.3373,0.217446,0.068762,51.202526,51.472074,63.3785,0.151171,0.047805,63.284803,63.472197,0.16698,0.005309,0.001679,0.163689,0.170271,0.0,0.0,0.0,0.0,0.0,13.3758
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,40.0,0.65,1.1,3,5,3,47.4941,0.141585,0.044773,47.406345,47.581855,62.8145,0.143474,0.04537,62.725574,62.903426,0.27962,0.004224,0.001336,0.277002,0.282238,0.0,0.0,0.0,0.0,0.0,
origin_delay_x_es_availability,B1,10,origin_delay_x_es_availability,,40.0,0.65,1.1,3,5,3,56.8463,0.180437,0.057059,56.734464,56.958136,86.1371,0.27516,0.087013,85.966554,86.307646,0.82976,0.005453,0.001724,0.82638,0.83314,0.23468,0.007409,0.002343,0.230088,0.239272,
origin_delay_x_es_availability,B2,10,origin_delay_x_es_availability,,40.0,0.65,1.1,3,5,3,47.584,0.248784,0.078672,47.429802,47.738198,62.8583,0.213096,0.067387,62.726222,62.990378,0.27737,0.006464,0.002044,0.273364,0.281376,0.0,0.0,0.0,0.0,0.0,9.2623
origin_delay_x_es_availability,B0,10,origin_delay_x_es_availability,,40.0,0.75,1.1,3,5,3,42.6894,0.127681,0.040376,42.610262,42.768538,62.1339,0.11672,0.03691,62.061556,62.206244,0.42087,0.003731,0.00118,0.418557,0.423183,0.0,0.0,0.0,0.0,0.0,
