scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,56.2543,0.358056,0.113227,56.032375,56.476225,101.4045,0.158207,0.05003,101.306442,101.502558,0.55068,0.004704,0.001488,0.547764,0.553596,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,67.209,0.850688,0.269011,66.681738,67.736262,129.1852,0.100981,0.031933,129.122612,129.247788,0.57727,0.008109,0.002564,0.572244,0.582296,0.94245,0.001756,0.000555,0.941361,0.943539,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,56.2193,0.399543,0.126346,55.971661,56.466939,101.3573,0.134034,0.042385,101.274225,101.440375,0.55104,0.005356,0.001694,0.54772,0.55436,0.0,0.0,0.0,0.0,0.0,10.9897
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,55.9229,0.389938,0.123309,55.681214,56.164586,101.3501,0.117059,0.037017,101.277546,101.422654,0.55511,0.005348,0.001691,0.551795,0.558425,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,66.109,0.469021,0.148317,65.818298,66.399702,128.9817,0.158115,0.05,128.883699,129.079701,0.59616,0.00466,0.001473,0.593272,0.599048,0.89796,0.002073,0.000656,0.896675,0.899245,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,56.0903,0.569749,0.18017,55.737166,56.443434,101.3918,0.22053,0.069738,101.255114,101.528486,0.55303,0.007508,0.002374,0.548377,0.557683,0.0,0.0,0.0,0.0,0.0,10.0187
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,56.0802,0.400387,0.126614,55.832037,56.328363,101.2983,0.124401,0.039339,101.221196,101.375404,0.55296,0.005427,0.001716,0.549596,0.556324,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,64.348,0.399889,0.126456,64.100146,64.595854,128.8555,0.146565,0.046348,128.764658,128.946342,0.62415,0.003738,0.001182,0.621833,0.626467,0.84023,0.003503,0.001108,0.838059,0.842401,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,56.0804,0.410331,0.129758,55.826074,56.334726,101.2866,0.114971,0.036357,101.21534,101.35786,0.5529,0.005497,0.001738,0.549493,0.556307,0.0,0.0,0.0,0.0,0.0,8.2676
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,56.3166,0.24959,0.078927,56.161902,56.471298,101.3482,0.130592,0.041297,101.267258,101.429142,0.54976,0.003258,0.00103,0.547741,0.551779,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,62.3788,0.429755,0.135901,62.112435,62.645165,128.4098,0.134968,0.042681,128.326146,128.493454,0.65729,0.004617,0.00146,0.654428,0.660152,0.76478,0.007096,0.002244,0.760382,0.769178,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,56.2666,0.249175,0.078796,56.11216,56.42104,101.3472,0.112135,0.03546,101.277698,101.416702,0.55066,0.003244,0.001026,0.548649,0.552671,0.0,0.0,0.0,0.0,0.0,6.1122
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.45,1.1,3,5,3,56.1843,0.276808,0.087534,56.012733,56.355867,101.4129,0.129398,0.040919,101.332698,101.493102,0.5516,0.003464,0.001095,0.549453,0.553747,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.45,1.1,3,5,3,57.6703,0.430858,0.136249,57.403252,57.937348,127.7199,0.114591,0.036237,127.648875,127.790925,0.73578,0.004396,0.00139,0.733055,0.738505,0.58973,0.005298,0.001675,0.586446,0.593014,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.45,1.1,3,5,3,56.2126,0.234373,0.074115,56.067334,56.357866,101.3991,0.131456,0.04157,101.317623,101.480577,0.55116,0.002774,0.000877,0.549441,0.552879,0.0,0.0,0.0,0.0,0.0,1.4577
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.55,1.1,3,5,3,56.2242,0.349329,0.110468,56.007683,56.440717,101.3398,0.154087,0.048727,101.244296,101.435304,0.55062,0.004883,0.001544,0.547593,0.553647,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.55,1.1,3,5,3,52.7353,0.278467,0.088059,52.562704,52.907896,126.3654,0.148093,0.046831,126.273611,126.457189,0.8182,0.002349,0.000743,0.816744,0.819656,0.40516,0.003578,0.001132,0.402942,0.407378,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.55,1.1,3,5,3,52.775,0.286332,0.090546,52.59753,52.95247,126.3805,0.156311,0.04943,126.283617,126.477383,0.81771,0.002716,0.000859,0.816027,0.819393,0.40603,0.00469,0.001483,0.403123,0.408937,-0.0397
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.65,1.1,3,5,3,56.2841,0.213998,0.067672,56.151463,56.416737,101.3795,0.132112,0.041778,101.297616,101.461384,0.55009,0.002865,0.000906,0.548315,0.551865,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.65,1.1,3,5,3,48.1482,0.415249,0.131313,47.890826,48.405574,124.3662,0.140491,0.044427,124.279123,124.453277,0.89523,0.002961,0.000936,0.893395,0.897065,0.23322,0.005632,0.001781,0.229729,0.236711,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.65,1.1,3,5,3,48.1284,0.41063,0.129853,47.873889,48.382911,124.3729,0.14017,0.044326,124.286022,124.459778,0.89544,0.002874,0.000909,0.893659,0.897221,0.2328,0.005431,0.001717,0.229434,0.236166,0.0198
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.82,1.1,3,5,3,55.9318,0.325309,0.102872,55.730171,56.133429,101.4216,0.101764,0.03218,101.358526,101.484674,0.55527,0.004684,0.001481,0.552367,0.558173,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.82,1.1,3,5,3,42.9606,0.303969,0.096123,42.772198,43.149002,70.7807,0.248169,0.078478,70.626883,70.934517,0.98084,0.001728,0.000546,0.979769,0.981911,0.04278,0.003598,0.001138,0.04055,0.04501,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.82,1.1,3,5,3,42.9068,0.258411,0.081717,42.746635,43.066965,70.7559,0.242929,0.076821,70.605331,70.906469,0.98083,0.001732,0.000548,0.979756,0.981904,0.04291,0.003646,0.001153,0.04065,0.04517,0.0538
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.2,1.1,3,5,3,74.1205,0.656232,0.207519,73.713763,74.527237,141.356,0.118848,0.037583,141.282337,141.429663,0.55151,0.00574,0.001815,0.547952,0.555068,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.2,1.1,3,5,3,84.0759,0.784232,0.247996,83.589828,84.561972,169.2139,0.103793,0.032822,169.149568,169.278232,0.57752,0.005646,0.001785,0.574021,0.581019,0.94156,0.002126,0.000672,0.940242,0.942878,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.2,1.1,3,5,3,74.1567,0.751633,0.237687,73.690833,74.622567,141.3463,0.127414,0.040292,141.267328,141.425272,0.55116,0.00662,0.002093,0.547057,0.555263,0.0,0.0,0.0,0.0,0.0,9.9192
memo_neighbor_availability_x_origin_delay,B0,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.25,1.1,3,5,3,74.2805,0.328041,0.103736,74.077178,74.483822,141.3795,0.132112,0.041778,141.297616,141.461384,0.55009,0.002865,0.000906,0.548315,0.551865,0.0,0.0,0.0,0.0,0.0,
memo_neighbor_availability_x_origin_delay,B1,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.25,1.1,3,5,3,82.248,0.915306,0.289445,81.680688,82.815312,169.0091,0.119114,0.037667,168.935272,169.082928,0.59614,0.006281,0.001986,0.592247,0.600033,0.89897,0.003886,0.001229,0.896561,0.901379,
memo_neighbor_availability_x_origin_delay,B2,10,memo_neighbor_availability_x_origin_delay,,120.0,0.82,0.82,0.25,1.1,3,5,3,74.1297,0.47571,0.150433,73.834852,74.424548,141.3897,0.152133,0.048109,141.295407,141.483993,0.55151,0.004192,0.001326,0.548912,0.554108,0.0,0.0,0.0,0.0,0.0,8.1183
