scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,local_failure_rate_mean,local_failure_rate_std,local_failure_rate_stderr,local_failure_rate_ci95_low,local_failure_rate_ci95_high,neighbor_attempt_rate_mean,neighbor_attempt_rate_std,neighbor_attempt_rate_stderr,neighbor_attempt_rate_ci95_low,neighbor_attempt_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_neighbor_choice_rate_mean,b2_neighbor_choice_rate_std,b2_neighbor_choice_rate_stderr,b2_neighbor_choice_rate_ci95_low,b2_neighbor_choice_rate_ci95_high,b2_advantage_vs_b1_mean
neighbor_availability_x_origin_delay,B0,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,56.2505,0.411688,0.130187,55.995333,56.505667,101.3649,0.16122,0.050982,101.264975,101.464825,0.55071,0.005632,0.001781,0.54722,0.5542,0.44929,0.005632,0.001781,0.4458,0.45278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B1,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,62.184,0.575885,0.182111,61.827063,62.540937,128.4275,0.18948,0.059919,128.310059,128.544941,0.66149,0.005988,0.001894,0.657778,0.665202,0.44929,0.005632,0.001781,0.4458,0.45278,0.44929,0.005632,0.001781,0.4458,0.45278,0.75341,0.00658,0.002081,0.749332,0.757488,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B2,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,55.558,0.440152,0.139188,55.285191,55.830809,102.9925,0.235883,0.074593,102.846298,103.138702,0.59444,0.006428,0.002033,0.590456,0.598424,0.44929,0.005632,0.001781,0.4458,0.45278,0.06897,0.003064,0.000969,0.067071,0.070869,0.36613,0.016156,0.005109,0.356116,0.376144,0.15351,0.00697,0.002204,0.14919,0.15783,6.626
neighbor_availability_x_origin_delay,B0,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,56.1548,0.474426,0.150027,55.860747,56.448853,101.3966,0.148948,0.047101,101.304281,101.488919,0.55217,0.006002,0.001898,0.54845,0.55589,0.44783,0.006002,0.001898,0.44411,0.45155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B1,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,60.7435,0.610544,0.193071,60.365081,61.121919,128.1863,0.163152,0.051593,128.085177,128.287423,0.68468,0.005931,0.001876,0.681004,0.688356,0.44783,0.006002,0.001898,0.44411,0.45155,0.44783,0.006002,0.001898,0.44411,0.45155,0.70408,0.007598,0.002403,0.699371,0.708789,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B2,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,55.0568,0.450131,0.142344,54.777806,55.335794,104.5177,0.431685,0.136511,104.250139,104.785261,0.61764,0.005871,0.001856,0.614001,0.621279,0.44783,0.006002,0.001898,0.44411,0.45155,0.10108,0.003154,0.000997,0.099125,0.103035,0.35233,0.01438,0.004547,0.343417,0.361243,0.22574,0.007338,0.00232,0.221192,0.230288,5.6867
neighbor_availability_x_origin_delay,B0,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,0.9,0.15,1.0,56.1458,0.270644,0.085585,55.978053,56.313547,101.3549,0.117998,0.037314,101.281764,101.428036,0.55198,0.003663,0.001158,0.549709,0.554251,0.44802,0.003663,0.001158,0.445749,0.450291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B1,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,0.9,0.15,1.0,59.5065,0.36939,0.116811,59.27755,59.73545,128.0167,0.114106,0.036084,127.945976,128.087424,0.70504,0.003897,0.001232,0.702624,0.707456,0.44802,0.003663,0.001158,0.445749,0.450291,0.44802,0.003663,0.001158,0.445749,0.450291,0.65835,0.004916,0.001554,0.655303,0.661397,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B2,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.3,1.1,3,5,3,0.9,0.15,1.0,54.6144,0.292038,0.09235,54.433393,54.795407,103.1562,0.249188,0.0788,103.001752,103.310648,0.62484,0.004129,0.001306,0.622281,0.627399,0.44802,0.003663,0.001158,0.445749,0.450291,0.10144,0.002328,0.000736,0.099997,0.102883,0.28167,0.012792,0.004045,0.273741,0.289599,0.22642,0.005305,0.001677,0.223132,0.229708,4.8921
neighbor_availability_x_origin_delay,B0,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,0.9,0.15,1.0,56.1134,0.32952,0.104203,55.909162,56.317638,101.3481,0.131481,0.041578,101.266607,101.429593,0.55244,0.004289,0.001356,0.549781,0.555099,0.44756,0.004289,0.001356,0.444901,0.450219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B1,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,0.9,0.15,1.0,58.4805,0.370807,0.117259,58.250671,58.710329,127.8443,0.114096,0.03608,127.773583,127.915017,0.72185,0.003463,0.001095,0.719704,0.723996,0.44756,0.004289,0.001356,0.444901,0.450219,0.44756,0.004289,0.001356,0.444901,0.450219,0.62148,0.006207,0.001963,0.617633,0.625327,0.0,0.0,0.0,0.0,0.0,
neighbor_availability_x_origin_delay,B2,10,neighbor_availability_x_origin_delay,,80.0,0.82,0.82,0.35,1.1,3,5,3,0.9,0.15,1.0,54.2094,0.288739,0.091307,54.030438,54.388362,106.1263,0.635849,0.201073,105.732197,106.520403,0.64902,0.003489,0.001103,0.646858,0.651182,0.44756,0.004289,0.001356,0.444901,0.450219,0.13895,0.00256,0.00081,0.137363,0.140537,0.30498,0.011659,0.003687,0.297754,0.312206,0.31046,0.005028,0.00159,0.307344,0.313576,4.2711
