scenario,trial_index,trial_seed,rank_bucket,rank_bucket_label,rank_bucket_order,request_count,local_failure_count,neighbor_attempt_count,neighbor_failure_count,origin_use_count,b2_neighbor_choice_count,b2_neighbor_choice_rate,origin_free_rate,neighbor_failure_rate,mean_response_time,origin_delay,neighbor_es_availability,zipf_alpha,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma
rank_bucket_b2_decision,0,21160525,hot,hot (top 5%),0,6433,2886,1981,444,1349,1981,0.686417,0.7903,0.224129,50.515303,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,0,21160525,mid,mid (5-20%),1,1745,764,0,0,764,0,0.0,0.562178,0.0,55.430201,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,0,21160525,cold,cold (20-100%),2,1822,838,0,0,838,0,0.0,0.540066,0.0,57.02129,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,1,21160526,hot,hot (top 5%),0,6376,2902,2009,460,1353,2009,0.692281,0.787798,0.22897,50.947689,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,1,21160526,mid,mid (5-20%),1,1774,804,0,0,804,0,0.0,0.546787,0.0,56.452639,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,1,21160526,cold,cold (20-100%),2,1850,894,0,0,894,0,0.0,0.516757,0.0,58.707703,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,2,21160527,hot,hot (top 5%),0,6365,2896,1967,427,1356,1967,0.679213,0.78696,0.217082,50.774683,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,2,21160527,mid,mid (5-20%),1,1816,820,0,0,820,0,0.0,0.548458,0.0,56.443683,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,2,21160527,cold,cold (20-100%),2,1819,807,0,0,807,0,0.0,0.55635,0.0,55.79344,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,3,21160528,hot,hot (top 5%),0,6445,3003,2041,473,1435,2041,0.679654,0.777347,0.231749,51.716681,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,3,21160528,mid,mid (5-20%),1,1696,711,0,0,711,0,0.0,0.580778,0.0,54.055258,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,3,21160528,cold,cold (20-100%),2,1859,829,0,0,829,0,0.0,0.554061,0.0,56.005364,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,4,21160529,hot,hot (top 5%),0,6417,2879,1920,451,1410,1920,0.666898,0.780271,0.234896,50.88404,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,4,21160529,mid,mid (5-20%),1,1765,787,0,0,787,0,0.0,0.554108,0.0,56.080924,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,4,21160529,cold,cold (20-100%),2,1818,850,0,0,850,0,0.0,0.532453,0.0,57.537308,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,5,21160530,hot,hot (top 5%),0,6368,2836,1936,435,1335,1936,0.682652,0.790358,0.22469,50.291124,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,5,21160530,mid,mid (5-20%),1,1822,784,0,0,784,0,0.0,0.569704,0.0,54.842288,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,5,21160530,cold,cold (20-100%),2,1810,803,0,0,803,0,0.0,0.556354,0.0,55.979702,80.0,0.55,1.1,0.9,0.15,1.0
rank_bucket_b2_decision,6,21160531,hot,hot (top 5%),0,6487,2892,1952,479,1419,1952,0.674965,0.781255,0.245389,50.761018,80.0,0.55,1.1,0.9,0.15,1.0
