scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,fallback_mean_response_time_mean,fallback_mean_response_time_std,fallback_mean_response_time_stderr,fallback_mean_response_time_ci95_low,fallback_mean_response_time_ci95_high,fallback_p95_response_time_mean,fallback_p95_response_time_std,fallback_p95_response_time_stderr,fallback_p95_response_time_ci95_low,fallback_p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,local_failure_rate_mean,local_failure_rate_std,local_failure_rate_stderr,local_failure_rate_ci95_low,local_failure_rate_ci95_high,neighbor_attempt_rate_mean,neighbor_attempt_rate_std,neighbor_attempt_rate_stderr,neighbor_attempt_rate_ci95_low,neighbor_attempt_rate_ci95_high,neighbor_skip_rate_mean,neighbor_skip_rate_std,neighbor_skip_rate_stderr,neighbor_skip_rate_ci95_low,neighbor_skip_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_neighbor_choice_rate_mean,b2_neighbor_choice_rate_std,b2_neighbor_choice_rate_stderr,b2_neighbor_choice_rate_ci95_low,b2_neighbor_choice_rate_ci95_high,b2_advantage_vs_b1_mean,b2_fallback_advantage_vs_b1_mean
steady,B0,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,100.7794,0.89979,0.284539,100.221705,101.337095,201.4137,0.130242,0.041186,201.332975,201.494425,197.0367,0.059434,0.018795,196.999862,197.073538,203.9427,0.224409,0.070964,203.80361,204.08179,0.55311,0.005267,0.001665,0.549846,0.556374,0.44689,0.005267,0.001665,0.443626,0.450154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
steady,B1,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,67.8475,0.77352,0.244609,67.368067,68.326933,225.9995,0.153447,0.048524,225.904392,226.094608,123.3427,1.020673,0.322765,122.710081,123.975319,228.7295,0.151276,0.047838,228.635738,228.823262,0.83714,0.003875,0.001225,0.834738,0.839542,0.44689,0.005267,0.001665,0.443626,0.450154,0.44689,0.005267,0.001665,0.443626,0.450154,0.0,0.0,0.0,0.0,0.0,0.3644,0.006562,0.002075,0.360333,0.368467,0.0,0.0,0.0,0.0,0.0,,
steady,B2,10,formal_scenario,steady,180.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,67.5729,0.790167,0.249873,67.08315,68.06265,225.1959,0.136074,0.04303,225.111561,225.280239,122.7274,1.038272,0.32833,122.083872,123.370928,227.9298,0.123512,0.039058,227.853246,228.006354,0.83206,0.004101,0.001297,0.829518,0.834602,0.44689,0.005267,0.001665,0.443626,0.450154,0.40805,0.005073,0.001604,0.404906,0.411194,0.0869,0.005594,0.001769,0.083433,0.090367,0.31635,0.00767,0.002425,0.311596,0.321104,0.9131,0.005594,0.001769,0.909633,0.916567,0.2746,0.6153
low_reliability_neighbor,B0,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,100.8571,1.147335,0.362819,100.145975,101.568225,201.4713,0.152153,0.048115,201.376994,201.565606,197.0226,0.051571,0.016308,196.990636,197.054564,203.9906,0.184992,0.0585,203.875941,204.105259,0.55257,0.006539,0.002068,0.548517,0.556623,0.44743,0.006539,0.002068,0.443377,0.451483,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
low_reliability_neighbor,B1,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,92.1258,1.303659,0.412253,91.317784,92.933816,228.3606,0.163677,0.051759,228.259152,228.462048,177.5018,1.014116,0.320692,176.873245,178.130355,230.8938,0.240357,0.076008,230.744825,231.042775,0.68544,0.006482,0.00205,0.681423,0.689457,0.44743,0.006539,0.002068,0.443377,0.451483,0.44743,0.006539,0.002068,0.443377,0.451483,0.0,0.0,0.0,0.0,0.0,0.703,0.006338,0.002004,0.699072,0.706928,0.0,0.0,0.0,0.0,0.0,,
low_reliability_neighbor,B2,10,formal_scenario,low_reliability_neighbor,180.0,0.82,0.82,0.25,1.1,3,5,3,0.9,0.15,1.0,90.5697,1.248511,0.394814,89.795865,91.343535,227.4472,0.132912,0.04203,227.36482,227.52958,174.0249,0.937956,0.296608,173.443549,174.606251,230.1282,0.259245,0.08198,229.967518,230.288882,0.68175,0.00633,0.002002,0.677827,0.685673,0.44743,0.006539,0.002068,0.443377,0.451483,0.37077,0.005594,0.001769,0.367303,0.374237,0.17133,0.00423,0.001338,0.168708,0.173952,0.65153,0.007033,0.002224,0.647171,0.655889,0.82867,0.00423,0.001338,0.826048,0.831292,1.5561,3.4769
origin_congestion,B0,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,163.8599,2.740484,0.866617,162.161331,165.558469,341.4185,0.168816,0.053384,341.313867,341.523133,337.019,0.067892,0.021469,336.97692,337.06108,343.9011,0.25217,0.079743,343.744803,344.057397,0.55145,0.008672,0.002742,0.546075,0.556825,0.44855,0.008672,0.002742,0.443175,0.453925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
origin_congestion,B1,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,90.6103,1.94595,0.615363,89.404188,91.816412,365.9864,0.161984,0.051224,365.886001,366.086799,173.7167,3.186544,1.007674,171.74166,175.69174,368.69,0.261515,0.082698,368.527911,368.852089,0.83748,0.005672,0.001793,0.833965,0.840995,0.44855,0.008672,0.002742,0.443175,0.453925,0.44855,0.008672,0.002742,0.443175,0.453925,0.0,0.0,0.0,0.0,0.0,0.36231,0.010512,0.003324,0.355794,0.368826,0.0,0.0,0.0,0.0,0.0,,
origin_congestion,B2,10,formal_scenario,origin_congestion,320.0,0.82,0.82,0.82,1.1,3,5,3,0.9,0.15,1.0,90.5334,1.966251,0.621783,89.314705,91.752095,365.9026,0.15102,0.047757,365.808997,365.996203,173.5448,3.221308,1.018667,171.548213,175.541387,368.6143,0.25926,0.081985,368.453609,368.774991,0.8374,0.005723,0.00181,0.833853,0.840947,0.44855,0.008672,0.002742,0.443175,0.453925,0.44495,0.008949,0.00283,0.439404,0.450496,0.00804,0.00192,0.000607,0.00685,0.00923,0.35732,0.01083,0.003425,0.350607,0.364033,0.99196,0.00192,0.000607,0.99077,0.99315,0.0769,0.1719
decision_boundary_neighbor,B0,10,formal_scenario,decision_boundary_neighbor,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,56.1642,0.474023,0.149899,55.870398,56.458002,101.4799,0.114714,0.036276,101.4088,101.551,97.0254,0.037453,0.011844,97.002187,97.048613,104.0185,0.110884,0.035064,103.949774,104.087226,0.55204,0.006584,0.002082,0.547959,0.556121,0.44796,0.006584,0.002082,0.443879,0.452041,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
decision_boundary_neighbor,B1,10,formal_scenario,decision_boundary_neighbor,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,62.0956,0.547906,0.173263,61.756005,62.435195,128.5371,0.122108,0.038614,128.461417,128.612783,110.2674,0.365777,0.115669,110.040689,110.494111,131.1153,0.137903,0.043609,131.029827,131.200773,0.66223,0.005095,0.001611,0.659072,0.665388,0.44796,0.006584,0.002082,0.443879,0.452041,0.44796,0.006584,0.002082,0.443879,0.452041,0.0,0.0,0.0,0.0,0.0,0.75403,0.005828,0.001843,0.750418,0.757642,0.0,0.0,0.0,0.0,0.0,,
decision_boundary_neighbor,B2,10,formal_scenario,decision_boundary_neighbor,80.0,0.82,0.82,0.2,1.1,3,5,3,0.9,0.15,1.0,55.4985,0.464003,0.146731,55.210908,55.786092,103.2879,0.212938,0.067337,103.15592,103.41988,95.5396,0.168924,0.053418,95.4349,95.6443,121.5895,0.48239,0.152545,121.290511,121.888489,0.59574,0.005689,0.001799,0.592214,0.599266,0.44796,0.006584,0.002082,0.443879,0.452041,0.06987,0.002852,0.000902,0.068102,0.071638,0.84405,0.005118,0.001618,0.840878,0.847222,0.37452,0.017586,0.005561,0.36362,0.38542,0.15595,0.005118,0.001618,0.152778,0.159122,6.5971,14.7278
