scenario,policy,mean_response_time,p95_response_time,origin_free_rate,local_failure_rate,neighbor_attempt_rate,neighbor_failure_rate,b2_neighbor_choice_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,neighbor_cache_hot_prob,neighbor_cache_cold_prob,neighbor_cache_rank_gamma,trial_index,trial_seed,sweep_name,sweep_value
steady,B0,100.488,201.441,0.555,0.445,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B0,100.076,201.243,0.557,0.443,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B0,100.793,201.546,0.5528,0.4472,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B0,99.762,201.421,0.559,0.441,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B0,102.34,201.267,0.5439,0.4561,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B0,99.816,201.458,0.5587,0.4413,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B0,100.707,201.58,0.5539,0.4461,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B0,101.66,201.311,0.5478,0.4522,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B0,100.254,201.289,0.5563,0.4437,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B0,101.898,201.581,0.5467,0.4533,0.0,0.0,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
steady,B1,67.988,225.932,0.836,0.445,0.445,0.3685,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B1,66.416,226.035,0.8449,0.443,0.443,0.3501,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B1,67.795,225.942,0.8373,0.4472,0.4472,0.3638,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B1,67.534,226.246,0.8376,0.441,0.441,0.3683,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B1,68.951,226.149,0.8324,0.4561,0.4561,0.3675,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B1,67.549,226.141,0.8376,0.4413,0.4413,0.368,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B1,67.405,225.992,0.8401,0.4461,0.4461,0.3584,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B1,69.009,225.88,0.831,0.4522,0.4522,0.3737,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B1,67.493,225.709,0.8387,0.4437,0.4437,0.3635,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B1,68.335,225.969,0.8358,0.4533,0.4533,0.3622,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
steady,B2,67.883,225.302,0.8309,0.445,0.4121,0.3305,0.9261,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,0,20260525,formal_scenario,steady
steady,B2,66.265,225.223,0.8396,0.443,0.4073,0.3062,0.9194,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,1,20260526,formal_scenario,steady
steady,B2,67.417,225.139,0.8328,0.4472,0.408,0.3137,0.9123,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,2,20260527,formal_scenario,steady
steady,B2,67.352,225.353,0.8317,0.441,0.4008,0.3196,0.9088,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,3,20260528,formal_scenario,steady
steady,B2,68.724,225.292,0.8267,0.4561,0.4154,0.3192,0.9108,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,4,20260529,formal_scenario,steady
steady,B2,67.117,225.13,0.8333,0.4413,0.4013,0.3157,0.9094,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,5,20260530,formal_scenario,steady
steady,B2,67.05,225.204,0.8356,0.4461,0.4077,0.3091,0.9139,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,6,20260531,formal_scenario,steady
steady,B2,68.746,225.184,0.8257,0.4522,0.4125,0.3263,0.9122,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,7,20260532,formal_scenario,steady
steady,B2,67.06,224.867,0.8343,0.4437,0.4031,0.3103,0.9085,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,8,20260533,formal_scenario,steady
steady,B2,68.115,225.265,0.83,0.4533,0.4123,0.3129,0.9096,1.1,0.82,0.82,0.82,180.0,3,5,3,0.9,0.15,1.0,9,20260534,formal_scenario,steady
low_reliability_neighbor,B0,100.523,201.544,0.5544,0.4456,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.077,201.178,0.5512,0.4488,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,98.428,201.571,0.5666,0.4334,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.271,201.614,0.5501,0.4499,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,102.388,201.462,0.5437,0.4563,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.458,201.465,0.5548,0.4452,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.859,201.323,0.5528,0.4472,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.204,201.361,0.5561,0.4439,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,102.496,201.699,0.5436,0.4564,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,100.867,201.496,0.5524,0.4476,0.0,0.0,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,9,20270534,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,91.064,228.29,0.6915,0.4456,0.4456,0.6923,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.459,227.969,0.6836,0.4488,0.4488,0.705,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,1,20270526,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,89.251,228.362,0.6998,0.4334,0.4334,0.6927,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,2,20270527,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.844,228.442,0.6815,0.4499,0.4499,0.7079,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,3,20270528,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,93.436,228.493,0.6795,0.4563,0.4563,0.7024,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,4,20270529,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.268,228.412,0.6839,0.4452,0.4452,0.71,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,5,20270530,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.212,228.282,0.6851,0.4472,0.4472,0.7042,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,6,20270531,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,91.337,228.325,0.6892,0.4439,0.4439,0.7002,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,7,20270532,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,93.755,228.499,0.6781,0.4564,0.4564,0.7053,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,8,20270533,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B1,92.632,228.532,0.6822,0.4476,0.4476,0.71,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0.9,0.15,1.0,9,20270534,formal_scenario,low_reliability_neighbor
