scenario,policy,trial_count,sweep_name,sweep_value,origin_delay,es_availability,local_es_availability,neighbor_es_availability,zipf_alpha,local_es_count,neighbor_group_size,k,mean_response_time_mean,mean_response_time_std,mean_response_time_stderr,mean_response_time_ci95_low,mean_response_time_ci95_high,p95_response_time_mean,p95_response_time_std,p95_response_time_stderr,p95_response_time_ci95_low,p95_response_time_ci95_high,origin_free_rate_mean,origin_free_rate_std,origin_free_rate_stderr,origin_free_rate_ci95_low,origin_free_rate_ci95_high,neighbor_failure_rate_mean,neighbor_failure_rate_std,neighbor_failure_rate_stderr,neighbor_failure_rate_ci95_low,neighbor_failure_rate_ci95_high,b2_advantage_vs_b1_mean
baseline,B0,10,baseline,,180.0,0.82,0.82,0.82,1.1,3,5,3,101.0823,0.647799,0.204852,100.68079,101.48381,201.4085,0.178969,0.056595,201.297574,201.519426,0.55121,0.003715,0.001175,0.548907,0.553513,0.0,0.0,0.0,0.0,0.0,
baseline,B1,10,baseline,,180.0,0.82,0.82,0.82,1.1,3,5,3,44.8589,0.367999,0.116372,44.630812,45.086988,70.7171,0.218157,0.068987,70.581885,70.852315,0.98075,0.001488,0.000471,0.979828,0.981672,0.04304,0.003115,0.000985,0.041109,0.044971,
baseline,B2,10,baseline,,180.0,0.82,0.82,0.82,1.1,3,5,3,44.8391,0.351738,0.111229,44.621091,45.057109,70.6902,0.217354,0.068733,70.555482,70.824918,0.98092,0.001357,0.000429,0.980079,0.981761,0.04264,0.002822,0.000892,0.040891,0.044389,0.0198
origin_delay_repeated,B0,10,origin_delay,40.0,40.0,0.82,0.82,0.82,1.1,3,5,3,38.1328,0.168366,0.053242,38.028446,38.237154,61.2787,0.147056,0.046503,61.187554,61.369846,0.55503,0.005033,0.001592,0.55191,0.55815,0.0,0.0,0.0,0.0,0.0,
origin_delay_repeated,B1,10,origin_delay,40.0,40.0,0.82,0.82,0.82,1.1,3,5,3,42.1135,0.188712,0.059676,41.996535,42.230465,70.7041,0.132296,0.041836,70.622102,70.786098,0.98073,0.00106,0.000335,0.980073,0.981387,0.04322,0.002392,0.000756,0.041737,0.044703,
origin_delay_repeated,B2,10,origin_delay,40.0,40.0,0.82,0.82,0.82,1.1,3,5,3,38.1613,0.165539,0.052348,38.058698,38.263902,61.3243,0.158311,0.050062,61.226178,61.422422,0.5544,0.005067,0.001602,0.551259,0.557541,0.0,0.0,0.0,0.0,0.0,3.9522
origin_delay_repeated,B0,10,origin_delay,80.0,80.0,0.82,0.82,0.82,1.1,3,5,3,56.4282,0.341142,0.107879,56.216758,56.639642,101.4108,0.176208,0.055722,101.301585,101.520015,0.54831,0.004103,0.001297,0.545767,0.550853,0.0,0.0,0.0,0.0,0.0,
origin_delay_repeated,B1,10,origin_delay,80.0,80.0,0.82,0.82,0.82,1.1,3,5,3,43.0557,0.213544,0.067529,42.923344,43.188056,70.8373,0.200079,0.063271,70.713289,70.961311,0.98091,0.001412,0.000447,0.980035,0.981785,0.04242,0.00292,0.000923,0.04061,0.04423,
origin_delay_repeated,B2,10,origin_delay,80.0,80.0,0.82,0.82,0.82,1.1,3,5,3,43.0866,0.204065,0.064531,42.960119,43.213081,70.8399,0.195927,0.061958,70.718463,70.961337,0.98083,0.001365,0.000432,0.979984,0.981676,0.04253,0.002851,0.000901,0.040763,0.044297,-0.0309
origin_delay_repeated,B0,10,origin_delay,120.0,120.0,0.82,0.82,0.82,1.1,3,5,3,74.2011,0.361843,0.114425,73.976828,74.425372,141.3005,0.091164,0.028829,141.243996,141.357004,0.55091,0.00323,0.001021,0.548908,0.552912,0.0,0.0,0.0,0.0,0.0,
