scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
baseline,B0,101.247,201.405,0.5503,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,baseline,
baseline,B1,45.214,70.844,0.979,0.0468,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,baseline,
baseline,B2,45.17,70.909,0.9788,0.0474,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,baseline,
baseline,B0,100.318,201.656,0.5558,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,baseline,
baseline,B1,45.17,70.909,0.9788,0.0474,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,baseline,
baseline,B2,45.123,70.947,0.9799,0.0446,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,baseline,
baseline,B0,100.688,201.003,0.5531,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,baseline,
baseline,B1,45.123,70.947,0.9799,0.0446,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,baseline,
baseline,B2,45.369,70.939,0.9802,0.0434,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,baseline,
baseline,B0,101.508,201.581,0.5488,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,baseline,
baseline,B1,45.369,70.939,0.9802,0.0434,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,baseline,
baseline,B2,44.572,70.466,0.9814,0.0419,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,baseline,
baseline,B0,101.691,201.501,0.5479,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,baseline,
baseline,B1,44.572,70.466,0.9814,0.0419,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,baseline,
baseline,B2,44.217,70.571,0.9836,0.0372,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,baseline,
baseline,B0,101.403,201.287,0.5491,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,baseline,
baseline,B1,44.217,70.571,0.9836,0.0372,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,baseline,
baseline,B2,44.519,70.562,0.9825,0.0392,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,baseline,
baseline,B0,101.491,201.443,0.5491,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,baseline,
baseline,B1,44.519,70.562,0.9825,0.0392,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,baseline,
baseline,B2,44.705,70.752,0.9808,0.0433,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,baseline,
baseline,B0,101.872,201.477,0.5466,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,baseline,
baseline,B1,44.705,70.752,0.9808,0.0433,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,baseline,
baseline,B2,44.977,70.847,0.9802,0.0441,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,baseline,
baseline,B0,100.72,201.367,0.5533,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,baseline,
baseline,B1,44.977,70.847,0.9802,0.0441,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,baseline,
baseline,B2,44.723,70.334,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,baseline,
baseline,B0,99.885,201.365,0.5581,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,baseline,
baseline,B1,44.723,70.334,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,baseline,
baseline,B2,45.016,70.575,0.9807,0.0428,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,baseline,
origin_delay_repeated,B0,38.013,61.276,0.558,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,0,20260925,origin_delay,40.0
origin_delay_repeated,B1,42.204,70.752,0.9789,0.0472,1.1,0.82,0.82,0.82,40.0,3,5,3,0,20260925,origin_delay,40.0
origin_delay_repeated,B2,38.289,61.325,0.5529,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,0,20260925,origin_delay,40.0
origin_delay_repeated,B0,38.058,61.177,0.556,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,1,20260926,origin_delay,40.0
origin_delay_repeated,B1,42.096,70.836,0.9808,0.0431,1.1,0.82,0.82,0.82,40.0,3,5,3,1,20260926,origin_delay,40.0
origin_delay_repeated,B2,38.103,60.997,0.5548,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,1,20260926,origin_delay,40.0
origin_delay_repeated,B0,38.289,61.325,0.5529,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,2,20260927,origin_delay,40.0
