scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,trial_index,trial_seed,sweep_name,sweep_value
steady,B0,101.247,201.405,0.5503,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,formal_scenario,steady
steady,B0,100.318,201.656,0.5558,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,formal_scenario,steady
steady,B0,100.688,201.003,0.5531,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,formal_scenario,steady
steady,B0,101.508,201.581,0.5488,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,formal_scenario,steady
steady,B0,101.691,201.501,0.5479,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,formal_scenario,steady
steady,B0,101.403,201.287,0.5491,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,formal_scenario,steady
steady,B0,101.491,201.443,0.5491,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,formal_scenario,steady
steady,B0,101.872,201.477,0.5466,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,formal_scenario,steady
steady,B0,100.72,201.367,0.5533,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,formal_scenario,steady
steady,B0,99.885,201.365,0.5581,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,formal_scenario,steady
steady,B1,45.214,70.844,0.979,0.0468,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,formal_scenario,steady
steady,B1,45.17,70.909,0.9788,0.0474,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,formal_scenario,steady
steady,B1,45.123,70.947,0.9799,0.0446,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,formal_scenario,steady
steady,B1,45.369,70.939,0.9802,0.0434,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,formal_scenario,steady
steady,B1,44.572,70.466,0.9814,0.0419,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,formal_scenario,steady
steady,B1,44.217,70.571,0.9836,0.0372,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,formal_scenario,steady
steady,B1,44.519,70.562,0.9825,0.0392,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,formal_scenario,steady
steady,B1,44.705,70.752,0.9808,0.0433,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,formal_scenario,steady
steady,B1,44.977,70.847,0.9802,0.0441,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,formal_scenario,steady
steady,B1,44.723,70.334,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,formal_scenario,steady
steady,B2,45.17,70.909,0.9788,0.0474,1.1,0.82,0.82,0.82,180.0,3,5,3,0,20260525,formal_scenario,steady
steady,B2,45.123,70.947,0.9799,0.0446,1.1,0.82,0.82,0.82,180.0,3,5,3,1,20260526,formal_scenario,steady
steady,B2,45.369,70.939,0.9802,0.0434,1.1,0.82,0.82,0.82,180.0,3,5,3,2,20260527,formal_scenario,steady
steady,B2,44.572,70.466,0.9814,0.0419,1.1,0.82,0.82,0.82,180.0,3,5,3,3,20260528,formal_scenario,steady
steady,B2,44.217,70.571,0.9836,0.0372,1.1,0.82,0.82,0.82,180.0,3,5,3,4,20260529,formal_scenario,steady
steady,B2,44.519,70.562,0.9825,0.0392,1.1,0.82,0.82,0.82,180.0,3,5,3,5,20260530,formal_scenario,steady
steady,B2,44.705,70.752,0.9808,0.0433,1.1,0.82,0.82,0.82,180.0,3,5,3,6,20260531,formal_scenario,steady
steady,B2,44.977,70.847,0.9802,0.0441,1.1,0.82,0.82,0.82,180.0,3,5,3,7,20260532,formal_scenario,steady
steady,B2,44.723,70.334,0.9811,0.0425,1.1,0.82,0.82,0.82,180.0,3,5,3,8,20260533,formal_scenario,steady
steady,B2,45.016,70.575,0.9807,0.0428,1.1,0.82,0.82,0.82,180.0,3,5,3,9,20260534,formal_scenario,steady
low_reliability_neighbor,B0,101.1,201.337,0.5512,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,0,20270525,formal_scenario,low_reliability_neighbor
low_reliability_neighbor,B0,101.615,201.666,0.5488,0.0,1.1,0.82,0.82,0.25,180.0,3,5,3,1,20270526,formal_scenario,low_reliability_neighbor
