scenario,policy,mean_response_time,p95_response_time,origin_free_rate,neighbor_failure_rate,zipf_alpha,es_availability,local_es_availability,neighbor_es_availability,origin_delay,local_es_count,neighbor_group_size,k,sweep_name,sweep_value,b2_advantage_vs_b1
origin_delay_sweep,B0,38.105,61.276,0.5531,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,origin_delay,40.0,
origin_delay_sweep,B1,42.21,70.625,0.9813,0.0417,1.1,0.82,0.82,0.82,40.0,3,5,3,origin_delay,40.0,
origin_delay_sweep,B2,38.174,61.266,0.5543,0.0,1.1,0.82,0.82,0.82,40.0,3,5,3,origin_delay,40.0,4.036
origin_delay_sweep,B0,56.191,101.375,0.5512,0.0,1.1,0.82,0.82,0.82,80.0,3,5,3,origin_delay,80.0,
origin_delay_sweep,B1,43.321,70.967,0.9811,0.0414,1.1,0.82,0.82,0.82,80.0,3,5,3,origin_delay,80.0,
origin_delay_sweep,B2,43.041,70.963,0.9788,0.0474,1.1,0.82,0.82,0.82,80.0,3,5,3,origin_delay,80.0,0.28
origin_delay_sweep,B0,74.788,141.242,0.5455,0.0,1.1,0.82,0.82,0.82,120.0,3,5,3,origin_delay,120.0,
origin_delay_sweep,B1,43.434,70.494,0.9812,0.0425,1.1,0.82,0.82,0.82,120.0,3,5,3,origin_delay,120.0,
origin_delay_sweep,B2,43.749,70.847,0.9828,0.038,1.1,0.82,0.82,0.82,120.0,3,5,3,origin_delay,120.0,-0.315
origin_delay_sweep,B0,100.045,201.116,0.5571,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,origin_delay,180.0,
origin_delay_sweep,B1,45.037,70.694,0.9808,0.0426,1.1,0.82,0.82,0.82,180.0,3,5,3,origin_delay,180.0,
origin_delay_sweep,B2,44.625,70.696,0.9814,0.0418,1.1,0.82,0.82,0.82,180.0,3,5,3,origin_delay,180.0,0.412
origin_delay_sweep,B0,127.689,261.142,0.5524,0.0,1.1,0.82,0.82,0.82,240.0,3,5,3,origin_delay,240.0,
origin_delay_sweep,B1,45.591,70.713,0.9808,0.0439,1.1,0.82,0.82,0.82,240.0,3,5,3,origin_delay,240.0,
origin_delay_sweep,B2,46.161,70.749,0.9812,0.0415,1.1,0.82,0.82,0.82,240.0,3,5,3,origin_delay,240.0,-0.57
origin_delay_sweep,B0,160.9,341.309,0.5609,0.0,1.1,0.82,0.82,0.82,320.0,3,5,3,origin_delay,320.0,
origin_delay_sweep,B1,47.917,70.864,0.9806,0.0426,1.1,0.82,0.82,0.82,320.0,3,5,3,origin_delay,320.0,
origin_delay_sweep,B2,47.128,70.856,0.9819,0.0407,1.1,0.82,0.82,0.82,320.0,3,5,3,origin_delay,320.0,0.789
es_availability_sweep,B0,180.596,203.509,0.0944,0.0,1.1,0.45,0.45,0.45,180.0,3,5,3,es_availability,0.45,
es_availability_sweep,B1,148.532,230.157,0.4539,0.6009,1.1,0.45,0.45,0.45,180.0,3,5,3,es_availability,0.45,
es_availability_sweep,B2,148.953,230.032,0.4527,0.5992,1.1,0.45,0.45,0.45,180.0,3,5,3,es_availability,0.45,-0.421
es_availability_sweep,B0,168.065,203.469,0.1666,0.0,1.1,0.55,0.55,0.55,180.0,3,5,3,es_availability,0.55,
es_availability_sweep,B1,113.241,228.596,0.6548,0.4145,1.1,0.55,0.55,0.55,180.0,3,5,3,es_availability,0.55,
es_availability_sweep,B2,113.561,228.647,0.6544,0.4116,1.1,0.55,0.55,0.55,180.0,3,5,3,es_availability,0.55,-0.32
es_availability_sweep,B0,149.626,203.007,0.2724,0.0,1.1,0.65,0.65,0.65,180.0,3,5,3,es_availability,0.65,
es_availability_sweep,B1,80.22,225.943,0.8331,0.2298,1.1,0.65,0.65,0.65,180.0,3,5,3,es_availability,0.65,
es_availability_sweep,B2,80.708,226.144,0.8304,0.2328,1.1,0.65,0.65,0.65,180.0,3,5,3,es_availability,0.65,-0.488
es_availability_sweep,B0,123.531,202.267,0.4223,0.0,1.1,0.75,0.75,0.75,180.0,3,5,3,es_availability,0.75,
es_availability_sweep,B1,57.008,221.974,0.9387,0.1061,1.1,0.75,0.75,0.75,180.0,3,5,3,es_availability,0.75,
es_availability_sweep,B2,57.829,221.991,0.9357,0.1102,1.1,0.75,0.75,0.75,180.0,3,5,3,es_availability,0.75,-0.821
es_availability_sweep,B0,100.582,201.216,0.5539,0.0,1.1,0.82,0.82,0.82,180.0,3,5,3,es_availability,0.82,
es_availability_sweep,B1,44.58,70.511,0.9808,0.0434,1.1,0.82,0.82,0.82,180.0,3,5,3,es_availability,0.82,
es_availability_sweep,B2,45.067,70.77,0.98,0.0445,1.1,0.82,0.82,0.82,180.0,3,5,3,es_availability,0.82,-0.487
es_availability_sweep,B0,71.449,199.727,0.7214,0.0,1.1,0.9,0.9,0.9,180.0,3,5,3,es_availability,0.9,
es_availability_sweep,B1,35.044,67.872,0.997,0.0109,1.1,0.9,0.9,0.9,180.0,3,5,3,es_availability,0.9,
es_availability_sweep,B2,35.226,67.874,0.9971,0.0104,1.1,0.9,0.9,0.9,180.0,3,5,3,es_availability,0.9,-0.182
